,country,total,death,recoveries
0,United States,19103992,335265,8320845
1,India,10169118,147343,9740108
2,Brazil,7465806,190815,6475466
3,Russia,3050248,54778,2450829
4,France,2550864,62573,189718
5,United Kingdom,2256005,70405,0
6,Turkey,2147578,19878,2015230
7,Italy,2038759,71620,1386198
8,Spain,1854951,49824,0
9,Germany,1642530,30127,1223628
10,Colombia,1584903,41943,1444041
11,Argentina,1578250,42501,1402212
12,Mexico,1377217,122026,1031864
13,Poland,1257799,27118,999610
14,Iran,1194963,54574,942548
15,Ukraine,1025989,17774,658538
16,Peru,1006318,37414,943637
17,South Africa,994911,26521,839194
18,Netherlands,753905,10970,0
19,Indonesia,713365,21237,583676
20,Czech Republic,670599,11044,565841
21,Belgium,638030,19158,0
22,Romania,615809,15230,540437
23,Chile,600105,16443,569578
24,Iraq,590779,12767,530262
25,Canada,541616,14800,448222
26,Bangladesh,508099,7428,450488
27,Pakistan,471335,9874,422132
28,Philippines,469886,9109,438678
29,Morocco,430562,7204,396095
30,Switzerland,428197,6534,317600
31,Israel,398015,3203,359816
32,Sweden,396048,8279,0
33,Portugal,394573,6619,319746
34,Saudi Arabia,362066,6176,353004
35,Austria,350484,5843,320753
36,Serbia,326060,3030,0
37,Hungary,316060,9047,130420
38,Jordan,286356,3729,258651
39,Nepal,257700,1819,249132
40,Panama,228724,3799,183522
41,Georgia,221605,2377,203547
42,Azerbaijan,214711,2499,168971
43,Japan,213547,3155,180188
44,Ecuador,209355,13992,184507
45,Croatia,204930,3671,191226
46,United Arab Emirates,200892,655,177407
47,Bulgaria,197384,7123,109742
48,Belarus,186747,1385,166036
49,Lebanon,168069,1367,118947
50,Slovakia,166649,1732,116948
51,Dominican Republic,165035,2404,127106
52,Costa Rica,162990,2086,128842
53,Armenia,156763,2733,137815
54,Bolivia,154349,9093,129969
55,Kazakhstan,150198,2196,136365
56,Kuwait,149653,931,145579
57,Denmark,149333,1134,105425
58,Qatar,143062,244,140866
59,Moldova,141355,2891,127404
60,Guatemala,135080,4757,123345
61,Greece,134852,4507,0
62,Palestine,131904,1281,108118
63,Egypt,131315,7352,109462
64,Lithuania,130598,1254,61751
65,Tunisia,128578,4385,98426
66,Oman,128290,1491,120441
67,Ethiopia,122413,1901,108269
68,Myanmar,121886,2601,103223
69,Honduras,119097,3065,55704
70,Slovenia,114180,2532,0
71,Venezuela,111603,1010,105804
72,Bosnia and Herzegovina,109330,3923,75124
73,Malaysia,105096,452,84411
74,Paraguay,104162,2174,77359
